model_name	psq_distance	psq_distance_metric	psq_distance_sample_size	highdim_size	lowdim_size
models/schöch/070tp-6000it-0050in.tsv.gz	0.408445111850494	cosine	1.0	70	70
models/schöch/070tp-6000it-0100in.tsv.gz	0.4091793193008573	cosine	1.0	70	70
models/schöch/070tp-6000it-0300in.tsv.gz	0.41087020145204234	cosine	1.0	70	70
models/schöch/070tp-6000it-0500in.tsv.gz	0.41378323035905296	cosine	1.0	70	70
models/schöch/070tp-6000it-1000in.tsv.gz	0.4090865007583955	cosine	1.0	70	70
models/schöch/070tp-6000it-2000in.tsv.gz	0.422363933422034	cosine	1.0	70	70
models/schöch/070tp-6000it-3000in.tsv.gz	0.4189529078444581	cosine	1.0	70	70
models/schöch/070tp-6000it-7000in.tsv.gz	0.44363848316941173	cosine	1.0	70	70
models/schöch/080tp-6000it-0050in.tsv.gz	0.40212409790992976	cosine	1.0	80	80
models/schöch/080tp-6000it-0100in.tsv.gz	0.42548473422089367	cosine	1.0	80	80
models/schöch/080tp-6000it-0300in.tsv.gz	0.424011371970403	cosine	1.0	80	80
models/schöch/080tp-6000it-0500in.tsv.gz	0.43230526499142063	cosine	1.0	80	80
models/schöch/080tp-6000it-1000in.tsv.gz	0.43501677661957294	cosine	1.0	80	80
models/schöch/080tp-6000it-2000in.tsv.gz	0.43831141916014243	cosine	1.0	80	80
models/schöch/080tp-6000it-3000in.tsv.gz	0.44405386873679153	cosine	1.0	80	80
models/schöch/080tp-6000it-7000in.tsv.gz	0.44843124449636856	cosine	1.0	80	80
models/schöch/090tp-6000it-0050in.tsv.gz	0.42690843998803035	cosine	1.0	90	90
models/schöch/090tp-6000it-0100in.tsv.gz	0.4335992889564929	cosine	1.0	90	90
models/schöch/090tp-6000it-0300in.tsv.gz	0.4394592653559694	cosine	1.0	90	90
models/schöch/090tp-6000it-0500in.tsv.gz	0.43897219577388763	cosine	1.0	90	90
models/schöch/090tp-6000it-1000in.tsv.gz	0.43794288625634326	cosine	1.0	90	90
