run	model_name	SVM	KNN	TRE	SGD	average
01	models/schöch-agg/mean_shift_median/060tp-6000it-3000in.tsv.gz	0.862	0.816	0.793	0.862	0.833
01	models/schöch-agg/mean_shift_median/060tp-6000it-7000in.tsv.gz	0.831	0.836	0.788	0.867	0.831
01	models/schöch-agg/mean_shift_median/070tp-6000it-0050in.tsv.gz	0.862	0.816	0.808	0.859	0.836
01	models/schöch-agg/mean_shift_median/070tp-6000it-0100in.tsv.gz	0.857	0.821	0.798	0.862	0.834
01	models/schöch-agg/mean_shift_median/070tp-6000it-0300in.tsv.gz	0.857	0.818	0.793	0.875	0.836
01	models/schöch-agg/mean_shift_median/070tp-6000it-0500in.tsv.gz	0.862	0.834	0.821	0.872	0.847
01	models/schöch-agg/mean_shift_median/070tp-6000it-1000in.tsv.gz	0.867	0.836	0.836	0.862	0.850
01	models/schöch-agg/mean_shift_median/070tp-6000it-2000in.tsv.gz	0.847	0.824	0.790	0.857	0.829
01	models/schöch-agg/mean_shift_median/070tp-6000it-3000in.tsv.gz	0.844	0.847	0.772	0.844	0.827
01	models/schöch-agg/mean_shift_median/070tp-6000it-7000in.tsv.gz	0.839	0.831	0.813	0.867	0.838
01	models/schöch-agg/mean_shift_median/080tp-6000it-0050in.tsv.gz	0.857	0.821	0.803	0.869	0.838
01	models/schöch-agg/mean_shift_median/080tp-6000it-0100in.tsv.gz	0.847	0.839	0.798	0.870	0.838
01	models/schöch-agg/mean_shift_median/080tp-6000it-0300in.tsv.gz	0.839	0.836	0.803	0.867	0.836
01	models/schöch-agg/mean_shift_median/080tp-6000it-0500in.tsv.gz	0.864	0.834	0.795	0.852	0.836
01	models/schöch-agg/mean_shift_median/080tp-6000it-1000in.tsv.gz	0.864	0.839	0.793	0.862	0.840
01	models/schöch-agg/mean_shift_median/080tp-6000it-2000in.tsv.gz	0.842	0.836	0.790	0.859	0.832
01	models/schöch-agg/mean_shift_median/080tp-6000it-3000in.tsv.gz	0.844	0.849	0.826	0.877	0.849
01	models/schöch-agg/mean_shift_median/080tp-6000it-7000in.tsv.gz	0.839	0.834	0.780	0.862	0.829
01	models/schöch-agg/mean_shift_median/090tp-6000it-0050in.tsv.gz	0.852	0.803	0.819	0.849	0.831
01	models/schöch-agg/mean_shift_median/090tp-6000it-0100in.tsv.gz	0.844	0.826	0.811	0.854	0.834
01	models/schöch-agg/mean_shift_median/090tp-6000it-0300in.tsv.gz	0.836	0.818	0.811	0.859	0.831
01	models/schöch-agg/mean_shift_median/090tp-6000it-0500in.tsv.gz	0.852	0.829	0.819	0.859	0.840
01	models/schöch-agg/mean_shift_median/090tp-6000it-1000in.tsv.gz	0.857	0.844	0.821	0.859	0.845
01	models/schöch-agg/mean_shift_median/090tp-6000it-2000in.tsv.gz	0.852	0.849	0.793	0.870	0.841
01	models/schöch-agg/mean_shift_median/090tp-6000it-3000in.tsv.gz	0.842	0.816	0.811	0.857	0.831
01	models/schöch-agg/mean_shift_median/090tp-6000it-7000in.tsv.gz	0.852	0.834	0.749	0.857	0.823
01	models/schöch-agg/mean_shift_median/100tp-6000it-0050in.tsv.gz	0.839	0.831	0.801	0.877	0.837
01	models/schöch-agg/mean_shift_median/100tp-6000it-0100in.tsv.gz	0.842	0.829	0.821	0.862	0.838
01	models/schöch-agg/mean_shift_median/100tp-6000it-0300in.tsv.gz	0.839	0.841	0.778	0.862	0.830
01	models/schöch-agg/mean_shift_median/100tp-6000it-0500in.tsv.gz	0.842	0.834	0.783	0.870	0.832
01	models/schöch-agg/mean_shift_median/100tp-6000it-1000in.tsv.gz	0.842	0.826	0.770	0.841	0.820
01	models/schöch-agg/mean_shift_median/100tp-6000it-2000in.tsv.gz	0.857	0.846	0.780	0.862	0.836
01	models/schöch-agg/mean_shift_median/100tp-6000it-3000in.tsv.gz	0.839	0.849	0.834	0.857	0.845
01	models/schöch-agg/mean_shift_median/100tp-6000it-7000in.tsv.gz	0.854	0.849	0.796	0.870	0.842
01	models/schöch-agg/mean_shift_o_std/050tp-6000it-0050in.tsv.gz	0.824	0.834	0.777	0.824	0.815
01	models/schöch-agg/mean_shift_o_std/050tp-6000it-0100in.tsv.gz	0.857	0.841	0.808	0.813	0.830
01	models/schöch-agg/mean_shift_o_std/050tp-6000it-0300in.tsv.gz	0.839	0.846	0.765	0.839	0.822
01	models/schöch-agg/mean_shift_o_std/050tp-6000it-0500in.tsv.gz	0.846	0.844	0.831	0.834	0.839
01	models/schöch-agg/mean_shift_o_std/050tp-6000it-1000in.tsv.gz	0.826	0.829	0.793	0.844	0.823
01	models/schöch-agg/mean_shift_o_std/050tp-6000it-2000in.tsv.gz	0.826	0.829	0.780	0.857	0.823
01	models/schöch-agg/mean_shift_o_std/050tp-6000it-3000in.tsv.gz	0.834	0.826	0.811	0.818	0.822
01	models/schöch-agg/mean_shift_o_std/050tp-6000it-7000in.tsv.gz	0.851	0.844	0.803	0.839	0.834
01	models/schöch-agg/mean_shift_o_std/060tp-6000it-0050in.tsv.gz	0.844	0.818	0.839	0.849	0.838
01	models/schöch-agg/mean_shift_o_std/060tp-6000it-0100in.tsv.gz	0.852	0.829	0.796	0.836	0.828
01	models/schöch-agg/mean_shift_o_std/060tp-6000it-0300in.tsv.gz	0.846	0.823	0.836	0.859	0.841
01	models/schöch-agg/mean_shift_o_std/060tp-6000it-0500in.tsv.gz	0.851	0.831	0.752	0.821	0.814
01	models/schöch-agg/mean_shift_o_std/060tp-6000it-1000in.tsv.gz	0.857	0.844	0.790	0.834	0.831
01	models/schöch-agg/mean_shift_o_std/060tp-6000it-2000in.tsv.gz	0.834	0.808	0.788	0.844	0.818
01	models/schöch-agg/mean_shift_o_std/060tp-6000it-3000in.tsv.gz	0.821	0.813	0.821	0.834	0.822
01	models/schöch-agg/mean_shift_o_std/060tp-6000it-7000in.tsv.gz	0.831	0.841	0.778	0.816	0.816
01	models/schöch-agg/mean_shift_o_std/070tp-6000it-0050in.tsv.gz	0.852	0.823	0.783	0.849	0.827
01	models/schöch-agg/mean_shift_o_std/070tp-6000it-0100in.tsv.gz	0.854	0.816	0.803	0.847	0.830
01	models/schöch-agg/mean_shift_o_std/070tp-6000it-0300in.tsv.gz	0.841	0.824	0.808	0.844	0.829
01	models/schöch-agg/mean_shift_o_std/070tp-6000it-0500in.tsv.gz	0.854	0.826	0.796	0.854	0.832
01	models/schöch-agg/mean_shift_o_std/070tp-6000it-1000in.tsv.gz	0.854	0.829	0.824	0.847	0.838
01	models/schöch-agg/mean_shift_o_std/070tp-6000it-2000in.tsv.gz	0.847	0.836	0.780	0.852	0.829
01	models/schöch-agg/mean_shift_o_std/070tp-6000it-3000in.tsv.gz	0.829	0.831	0.765	0.849	0.818
01	models/schöch-agg/mean_shift_o_std/070tp-6000it-7000in.tsv.gz	0.841	0.823	0.806	0.839	0.827
01	models/schöch-agg/mean_shift_o_std/080tp-6000it-0050in.tsv.gz	0.831	0.836	0.793	0.839	0.825
01	models/schöch-agg/mean_shift_o_std/080tp-6000it-0100in.tsv.gz	0.865	0.821	0.767	0.836	0.822
01	models/schöch-agg/mean_shift_o_std/080tp-6000it-0300in.tsv.gz	0.844	0.839	0.806	0.854	0.836
01	models/schöch-agg/mean_shift_o_std/080tp-6000it-0500in.tsv.gz	0.816	0.823	0.813	0.857	0.827
01	models/schöch-agg/mean_shift_o_std/080tp-6000it-1000in.tsv.gz	0.836	0.836	0.816	0.839	0.832
01	models/schöch-agg/mean_shift_o_std/080tp-6000it-2000in.tsv.gz	0.831	0.829	0.819	0.831	0.827
01	models/schöch-agg/mean_shift_o_std/080tp-6000it-3000in.tsv.gz	0.829	0.854	0.801	0.859	0.836
01	models/schöch-agg/mean_shift_o_std/080tp-6000it-7000in.tsv.gz	0.818	0.823	0.801	0.836	0.820
01	models/schöch-agg/mean_shift_o_std/090tp-6000it-0050in.tsv.gz	0.857	0.816	0.801	0.821	0.824
01	models/schöch-agg/mean_shift_o_std/090tp-6000it-0100in.tsv.gz	0.839	0.829	0.787	0.864	0.830
01	models/schöch-agg/mean_shift_o_std/090tp-6000it-0300in.tsv.gz	0.852	0.836	0.788	0.849	0.831
